Close,High,Low,Open,Volume
BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
2496.086181640625,2529.9314180018537,2479.1635634600107,2521.4701089115465,108377000
2521.47021484375,2525.7008695666423,2483.3943223377205,2504.5475959521814,93601500
2512.6123046875,2538.164294226695,2512.6123046875,2538.164294226695,129331500
2504.094482421875,2538.163795107887,2491.3184901646205,2504.094482421875,57051500
2538.164306640625,2555.1989664167368,2504.094987088402,2508.35365203243,101934500
2533.90576171875,2546.6817571559877,2525.3884314272586,2546.6817571559877,80424500
2538.164306640625,2555.1989664167368,2533.9056416965973,2546.681636528681,45916500
2538.164306640625,2555.1989664167368,2529.6469767525696,2538.164306640625,51549000
2418.921630859375,2529.646916778994,2389.110976957939,2521.1295870928698,214693500
2393.369384765625,2418.921371079849,2367.8173984514015,2401.886713537033,145994000
2299.678466796875,2384.8517433449074,2248.5745008680556,2384.8517433449074,289103500
